FMZ1CODE,FMZ2CODE,DMA1CODE,DMA2CODE,METRICCALCULATED,GENID,GISID,SHORTGISID,TWGUID,LIFECYCLESTATUS,NETWORKCODE1,NETWORKCODE2,METERTYPE,SHAPEX,SHAPEY,geometry
ZSEWRD,None,ZSEWRD01,None,304.8,21862360,1789574,12CUE,5E4231B3-9351-11D6-9595-0002A54212B3,LIVE,ZSEWRD01,ZSEWRD,VENT,535844.8,203607.5,POINT (535844.7999999998 203607.5)
ZPUTNY,None,None,None,600,25812428,1796466,12I5U,CBC93273-9353-11D6-9595-0002A54212B3,LIVE,ZPUTNY,ZWKREGCS,UNK,529127.2,177485.2,POINT (529127.2000000002 177485.19999999925)
ZWITNY,None,ZWITNY03,None,101.60000000000001,25501054,1789049,12CFT,47EF9024-9348-11D6-9595-0002A54212B3,LIVE,ZWITNY03,ZWITNY,VENT,436391.5,209350,POINT (436391.5 209350)
ZSEWRD,None,None,ZSEWRD57,127,21876413,1791107,12E0Z,C4BB7F6F-9356-11D6-9595-0002A54212B3,LIVE,ZSEWRD,ZSEWRD57,VENT,534650.9,194018.2,POINT (534650.9000000004 194018.19999999925)
ZSTHFL,None,ZSTHFL21,ZSTHFL20,250,null,9258035,6IGKN,None,LIVE,ZSTHFL20,ZSTHFL21,None,560990.8668,173762.1414,POINT (560990.8668 173762.14140000008)
ZHAM42,None,ZHAM4220,ZHAM4219,150,null,9660356,6R2Z8,None,LIVE,ZHAM4220,ZHAM4219,None,527330.01153936,169274.20831174,POINT (527330.0115 169274.20830000006)
ZFRNBO,ZFRNBO,ZFRNBO13,ZFRNBO17,203.20000000000002,16386763,1791666,12EGI,4ABB1F22-9357-11D6-9595-0002A54212B3,LIVE,ZFRNBO13,ZFRNBO17,VENT,544600.7,167197.9,POINT (544600.7000000002 167197.90000000037)
ZCSTWD,None,ZCSTWD04,None,150,21830892,1791740,12EIK,A72C83FA-9357-11D6-9595-0002A54212B3,LIVE,ZCSTWD04,ZCSTWD,VENT,543709.8,175771.9,POINT (543709.7999999998 175771.90000000037)
ZHGHGA,None,ZHGHGA03,ZHGHGA04,254,25223953,1790361,12DG9,692DDB97-9354-11D6-9595-0002A54212B3,LIVE,ZHGHGA04,ZHGHGA03,VENT,528471.6958,189206.6335,POINT (528471.6957999999 189206.63350000046)
None,None,ZHAMCO07,ZHAMCO08,177.8,21842288,1789935,12D4F,895F0D0D-9352-11D6-9595-0002A54212B3,LIVE,ZHAMCO07,ZHAMCO08,VENT,513910.60000000003,170747.7,POINT (513910.5999999996 170747.69999999925)
None,ZKINGP,None,ZKINGP01,200,26129134,1796155,12HX7,4AC85D7E-FE3E-4524-8BA9-9186B4BD661A,LIVE,ZWKREGCN,ZKINGP01,UNK,517418.4,169321.30000000002,POINT (517418.4000000004 169321.30000000075)
ZBEPRV,None,ZBEPRV06,ZBEPRV07,250,null,7331661,4D559,None,LIVE,ZBEPRV06,ZBEPRV07,VENT,534396.25978609,177964.79550783,POINT (534396.2598000001 177964.79549999908)
ZHAM36,None,ZHAM3605,None,127,22073759,1790377,12DGP,B8038914-9353-11D6-9595-0002A54212B3,LIVE,ZHAM3605,ZHAM36,VENT,528303.8,175207.1,POINT (528303.7999999998 175207.09999999963)
ZCHIPO,None,ZCHIPO01,None,152.4,null,7570185,4I97X,None,LIVE,ZCHIPO01,None,None,434518.1511,225607.7077,POINT (434518.15110000037 225607.7076999992)
ZTADLY,None,ZTADLY02,ZTADLY03,300,25891665,1789199,12CJZ,9FF1751A-782F-4E0D-82F1-9DD02D4F5F52,LIVE,ZTADLY02,ZTADLY03,UNK,459938.1357,161511.5038,POINT (459938.13570000045 161511.50379999913)
ZWOODF,None,ZWOODF142,None,150,null,9519791,6O2JN,None,LIVE,ZWOODF142,ZWOODF142,None,535886.48655342,189514.93331696,POINT (535886.4866000004 189514.93329999968)
None,ZHAM42,None,ZHAM4201,101.60000000000001,25095798,1789662,12CWU,923A3EC1-5F97-4774-9B2A-1FFAA7B45362,LIVE,ZWKREGCS,ZHAM4201,UNK,519720.07795516,169624.23959513,POINT (519720.07799999975 169624.2396000009)
None,None,None,None,900,25592189,1796448,12I5C,44D4738F-9354-11D6-9595-0002A54212B3,LIVE,ZWKREGCN,None,FBM,527627.9,183561.30000000002,POINT (527627.9000000004 183561.30000000075)
ZHAMPS,None,ZHAMPS03,None,304.8,21898427,1790409,12DHL,286CB290-9354-11D6-9595-0002A54212B3,LIVE,ZHAMPS03,ZHAMPS,VENT,525776.6888,186392.2473,POINT (525776.6887999997 186392.24730000086)
ZFRNBO,None,ZFRNBO24,ZFRNBO23,150,22076488,1791617,12EF5,9976F5EB-9357-11D6-9595-0002A54212B3,LIVE,ZFRNBO23,ZFRNBO23,VENT,542662.6,171464.5,POINT (542662.5999999996 171464.5)
None,None,ZNORWD16,None,127,25843136,1790698,12DPM,6AFCEC42-9355-11D6-9595-0002A54212B3,LIVE,ZNORWD16,ZWKREGES,VENT,535510.3,172592,POINT (535510.2999999998 172592)
ZMAIDL,None,ZMAIDL32,None,250,null,7648331,5KYIN,None,LIVE,ZMAIDL32,ZMAIDL,VENT,531763.7694,186776.3146,POINT (531763.7693999996 186776.31460000016)
ZWAL48,None,ZWAL4801,ZWAL4802,101.60000000000001,16320143,1789550,12CTQ,334077C0-9352-11D6-9595-0002A54212B3,LIVE,ZWAL4801,ZWAL4802,VENT,513578.3,167689.80000000002,POINT (513578.2999999998 167689.80000000075)
ZFINSB,None,ZFINSB46,ZFINSB,152.4,null,9072719,5EHKZ,None,LIVE,ZFINSB,ZFINSB46,FBM,535032.33679584,182206.80826627,POINT (535032.3367999997 182206.80829999968)
ZFINSB,None,ZFINSB53,None,254,21836718,1791004,12DY4,785D12E2-9356-11D6-9595-0002A54212B3,LIVE,ZFINSB53,ZFINSB,VENT,538279.5,181537.4,POINT (538279.5 181537.40000000037)
ZOXLWD,None,ZOXLWD37,None,null,null,7605005,5J025,None,LIVE,ZOXLWD,ZOXLWD,VENT,543686.6178,177954.461,POINT (543686.6178000001 177954.4609999992)
ZCHIGW,None,ZCHIGW44,None,254,16321149,1791449,12EAH,F3A95D73-9356-11D6-9595-0002A54212B3,LIVE,ZCHIGW44,ZCHIGW,VENT,539893.9,191580.7,POINT (539893.9000000004 191580.69999999925)
None,None,ZNORWD27,ZNORWD28,76.2,22039792,1790096,12D8W,AB657188-9354-11D6-9595-0002A54212B3,LIVE,ZNORWD27,ZNORWD28,VENT,531585.7,168636.7,POINT (531585.7000000002 168636.69999999925)
ZHAM36,None,None,None,null,26339567,1796503,12I6V,F15C6724-A957-4227-9A03-E9B60E9CDFBB,LIVE,ZHAM36,ZWKREGCS,UNK,529179.5,177446,POINT (529179.5 177446)
None,None,ZBARHT18,None,177.8,22047726,1790249,12DD5,E8AA7CA8-9353-11D6-9595-0002A54212B3,LIVE,ZBARHT18,ZWKREGCN,VENT,521029.10000000003,183457.5,POINT (521029.0999999996 183457.5)
None,None,ZTILEH24,ZTILEH23,76.2,null,7651663,5K027,None,LIVE,ZTILEH24,ZTILEH23,None,469920.72204918,173034.6218033,POINT (469920.72200000007 173034.62179999985)
ZHGHBE,None,None,None,381,25750834,9936630,6XZ6I,1DF0A260-E845-471D-8DA2-D8EB136208A5,LIVE,ZWKREGEN,ZHGHBE,FBM,540991.11,198074.08000000002,POINT (540991.1100000003 198074.08000000007)
ZOXLWD,None,ZOXLWD22,ZOXLWD20,152.4,22161651,1790636,12DNW,80852875-9355-11D6-9595-0002A54212B3,LIVE,ZOXLWD22,ZOXLWD20,VENT,536978.5,174544.6,POINT (536978.5 174544.59999999963)
ZWANTE,None,ZWANTE01,None,228.6,26612841,1795312,12H9S,DED54D20-F9D7-442D-B210-F32B2008C725,LIVE,ZWANTE01,None,FBM,439467.14670808,189110.0204899,POINT (439467.1467000004 189110.02050000057)
ZBARHT,None,ZBARHT62,None,152.4,26569715,1790235,12DCR,1F74BED5-9354-11D6-9595-0002A54212B3,LIVE,ZWKREGCN,ZBARHT62,VENT,525144.22305042,182519.05394652,POINT (525144.2231000001 182519.0538999997)
ZCRCHH,None,ZCRCHH67,ZCRCHH70,304.8,25597027,1791056,12DZK,E06FEC09-9355-11D6-9595-0002A54212B3,LIVE,ZCRCHH67,ZCRCHH70,VENT,531206.4801,182010.5924,POINT (531206.4801000003 182010.5923999995)
PKEMPT59,None,ZKEMPT09,ZKEMPT08,450,null,9754546,6T3OM,None,LIVE,ZKEMPT09,ZKEMPT08,None,519159.42916633,182333.922349,POINT (519159.42920000013 182333.92229999974)
ZSUHIL,None,ZSUHIL50,ZSUHIL07,304.8,25609854,1790272,12DDS,5D425D60-277E-4085-B7E8-0D8E050B191B,LIVE,ZSUHIL07,ZSUHIL50,VENT,526353.5,183265.9,POINT (526353.5 183265.90000000037)
None,ZRIVSE,None,ZRIVSE26,152.4,22043381,1791506,12EC2,90CBD9CF-9358-11D6-9595-0002A54212B3,LIVE,ZRIVSE26,ZRIVSE,VENT,551261.3,177259.7,POINT (551261.2999999998 177259.69999999925)
ZBARHT,None,ZBARHT41,ZBARHT35,457.2,22061363,1790036,12D78,76C46845-9354-11D6-9595-0002A54212B3,LIVE,ZBARHT41,ZBARHT35,VENT,529406.6,182037.6,POINT (529406.5999999996 182037.59999999963)
ZSTRMR,None,ZSTRMR04,None,304.8,25439973,1795801,12HND,E265CABE-E75B-47DF-B10D-EFD49EA3F325,LIVE,ZSTRMR04,ZSTRMR,UNK,530558.7,173324.2,POINT (530558.7000000002 173324.19999999925)
ZCHIGW,None,ZCHIGW56,None,228.6,16321683,1791442,12EAA,F3A95CD5-9356-11D6-9595-0002A54212B3,LIVE,ZCHIGW56,ZCHIGW,VENT,539310.5,190222.30000000002,POINT (539310.5 190222.30000000075)
ZHAM36,None,ZHAM3641,None,304.8,22060991,1789584,12CUO,698CC3D7-9353-11D6-9595-0002A54212B3,LIVE,ZHAM3641,ZHAM36,VENT,524934.9,174582.1,POINT (524934.9000000004 174582.09999999963)
ZWOODF,None,None,None,315,25116343,1791691,12EH7,9AB6F7EA-8970-4277-84C3-D54F8020D155,LIVE,ZWOODF,None,UNK,543095.3,182165.30000000002,POINT (543095.2999999998 182165.30000000075)
ZBECKL,ZSHOTV,ZBECKL01,None,76.2,13910038,1796282,12I0Q,B964431F-9349-11D6-9595-0002A54212B3,LIVE,ZBECKL01,ZBECKL,VENT,456015,208540.6,POINT (456015 208540.59999999963)
None,None,ZSUHIL29,None,101.60000000000001,21884204,1790387,12DGZ,E8AA9769-9353-11D6-9595-0002A54212B3,LIVE,ZSUHIL29,ZWKREGCN,VENT,522382.60000000003,182687.2,POINT (522382.5999999996 182687.19999999925)
